Year,Game,Genre,Developer(s),Award_Count
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Control,Action-adventure,Remedy Entertainment,5.0
2020,The Last of Us Part II,Action-adventure,Naughty Dog,7.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,9.0
2002,Metroid Prime,Action-adventure,Retro Studios,5.0
2003,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo EAD,2.0
2005,Resident Evil 4,Survival horror,Capcom,8.0
2006,Gears of War,Third-person shooter,Epic Games,4.0
2007,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2008,Metal Gear Solid 4: Guns of the Patriots,Action-adventure,Kojima Productions,2.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,Journey,Adventure,Thatgamecompany,5.0
2014,Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions,3.0
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,10.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games,6.0
2019,Sekiro: Shadows Die Twice,Action-adventure,FromSoftware,5.0
2020,Half-Life: Alyx,First-person shooter,Valve,2.0
2021,Deathloop,First-person shooter,Arkane Studios,5.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
2024,Metaphor: ReFantazio,Role-playing,Atlus,3.0
1999,Unreal Tournament,First-person shooter,Epic Games,2.0
2000,Deus Ex,Action role-playing,Ion Storm,2.0
2001,Grand Theft Auto III,Action-adventure,DMA Design,4.0
2002,Metroid Prime,Action-adventure,Retro Studios,5.0
2003,Star Wars: Knights of the Old Republic,Role-playing,BioWare,3.0
2004,Halo 2,First-person shooter,Bungie,3.0
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD,5.0
2007,Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward,3.0
2008,Fallout 3,Action role-playing,Bethesda Game Studios,6.0
2009,Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward,3.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games,5.0
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD,5.0
