Name,Platform,Year,Genre,Publisher,NorthAmerica_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales,Multi_Platform
Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft,0.57,0.32,0.01,0.08,0.98,True
Madden NFL 10,PS2,2009,Sports,Electronic Arts,0.88,0.0,0.0,0.1,0.98,True
NBA 2K10,X360,2009,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97,True
NCAA Football 06,XB,2005,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97,False
Madden NFL 16,X360,2015,Sports,Electronic Arts,0.85,0.02,0.0,0.1,0.97,True
Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0.0,0.93,0.0,0.04,0.97,True
Madden NFL 08,PS3,2007,Sports,Electronic Arts,0.89,0.0,0.0,0.08,0.97,True
Fire Emblem,GBA,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97,False
Brutal Legend,X360,2009,Action,Electronic Arts,0.62,0.26,0.0,0.09,0.97,True
Disney Infinity,PS3,2013,Action,Disney Interactive Studios,0.49,0.32,0.0,0.16,0.97,True
Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,0.09,0.01,0.86,0.01,0.97,False
NHL 2004,PS2,2003,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97,True
Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,False
Disney Tangled,DS,2010,Action,Disney Interactive Studios,0.53,0.35,0.0,0.09,0.97,True
Wheel of Fortune,WII,2010,Misc,THQ,0.86,0.04,0.0,0.06,0.97,True
FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97,True
Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.12,0.97,True
Cars,DS,2006,Racing,THQ,0.85,0.04,0.0,0.07,0.97,True
Band Hero,WII,2009,Misc,Activision,0.59,0.29,0.0,0.09,0.97,True
Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97,True
Skylanders: Spyro's Adventure,X360,2011,Action,Activision,0.53,0.34,0.0,0.1,0.97,True
Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97,False
LEGO Star Wars II: The Original Trilogy,GC,2006,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,True
Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97,True
Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,False
Far Cry 3,PC,2012,Shooter,Ubisoft,0.22,0.62,0.0,0.12,0.96,False
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,True
Dead Space 3,PS3,2013,Action,Electronic Arts,0.44,0.36,0.0,0.16,0.96,True
Dragon Quest X,WII,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,True
Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96,False
Dance Dance Revolution 2nd ReMIX,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96,False
Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96,False
Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,False
NHL 2001,PS2,2000,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96,True
Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0.0,0.81,0.0,0.15,0.96,True
Guitar Hero: Warriors of Rock,WII,2010,Misc,Activision,0.47,0.4,0.0,0.09,0.96,True
de Blob,WII,2008,Platform,THQ,0.49,0.37,0.0,0.1,0.96,False
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,False
Shinobi,PS2,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96,True
Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,0.77,0.15,0.0,0.04,0.96,True
The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0.0,0.14,0.96,True
Sniper Elite V2,PS3,2012,Shooter,505 Games,0.38,0.38,0.06,0.14,0.96,True
ESPN NBA 2K5,XB,2004,Sports,Global Star,0.88,0.04,0.0,0.04,0.95,False
Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,0.3,0.43,0.0,0.22,0.95,False
